;2;2;2;2;2;2;2
;cost;cost;cost;cost;cost;cost;gain
;global warming;ozone layer depletion;respiratory inorganics;non-renewable energy;net present value;comfort;energy saving
a1;12096.012;0.0012312;5.5728;246240.24;2951.50;3657.79;65.67
a2;15,746.557;0.0006328;5.6160;139537.39;2670.14;4392.80;59.41
a3;797.040;0.0000283;0.4168;22680.02;2980.71;3750.48;66.32
a4;3650.403;0.0003348;4.0392;81216.08;2843.18;3974.48;63.26
a5;1531.441;0.0000697;2.3328;23328.02;3001.83;3659.44;66.79
a6;2332.802;0.0003974;1.5465;73008.07;2984.31;3681.89;66.40
a7;855.360;0.0000861;0.9050;12074.41;2975.77;3685.51;66.21
a8;630.720;0.0000743;0.3456;10821.61;2908.35;3921.44;64.71
a9;1995.841;0.0004881;0.9374;33264.03;2853.07;3893.64;60.76
a10;2354.402;0.0000012;2.7432;65880.06;3093.07;3357.30;68.82
a11;788.400;0.0000956;1.2787;12182.41;2730.82;4478.60;63.48
a12;311.040;0.0000347;0.4039;6177.60;2954.19;3800.44;65.73
